Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City
491724,MAMA NENA'S SHRIMP HOUSE INC,MAMA NENA'S SHRIMP HOUSE INC,63574,Restaurant,Risk 2 (Medium),1623 W 43rd ST,CHICAGO
166280,RAUNER FAMILY YMCA,RAUNER FAMILY YMCA,1649949,Children's Services Facility,Risk 1 (High),2700 S WESTERN AVE,CHICAGO
492243,THE NEW 113 CLUB,THE NEW 113 CLUB,2049330,TAVERN,Risk 3 (Low),113-115 E 47TH ST,CHICAGO
88740,SUBWAY SANDWICHES,SUBWAY SANDWICHES,1249180,Restaurant,Risk 1 (High),4101 W LAWRENCE AVE,CHICAGO
114729,ROBINSON'S #1 RIB,ROBINSON'S #1 RIB,32317,Restaurant,Risk 1 (High),225 S CANAL ST,CHICAGO
585327,Gale Community Academy Annex,Gale Community Academy Annex,31082,School,Risk 1 (High),7650 N Marshfield AVE,CHICAGO
545299,PARK 52,PARK 52,2084647,Restaurant,Risk 1 (High),5201 S HARPER,CHICAGO
580051,A TAVOLA,A TAVOLA,45044,Restaurant,Risk 1 (High),2148 W CHICAGO AVE,CHICAGO
547409,UBITAS ICE CREAM,DRIP'N GOOD ICE CREAM,2093306,Mobile Food Dispenser,Risk 2 (Medium),4014 W 24TH ST,CHICAGO
517281,ADOBO GRILL,ADOBO GRILL,80108,Restaurant,Risk 1 (High),1610 N WELLS ST,CHICAGO
517343,DUNKIN DONUTS/BASKIN ROBBINS,DUNKIN DONUTS/BASKIN ROBBINS,1594330,Restaurant,Risk 2 (Medium),1982 N CLYBOURN AVE,CHICAGO
580152,EL BURRITO AMIGO,EL BURRITO AMIGO,1576638,Restaurant,Risk 1 (High),5238 W GRAND AVE,CHICAGO
565339,SKINNIE PIGGY,SKINNIE PIGGY,2093711,Grocery Store,Risk 3 (Low),1214 W TAYLOR ST,CHICAGO
88788,7 - ELEVEN,7 - ELEVEN,1848194,Grocery Store,Risk 2 (Medium),5789 N MILWAUKEE AVE,CHICAGO
353266,"WARREN PARK HEALTH & LIVING CENTER, LLC",WARREN PARK HEALTH & LIVING CENTER,1943186,Long Term Care,Risk 1 (High),6700 N DAMEN AVE,CHICAGO
545279,SHARKS FISH & CHICKEN,SHARKS FISH & CHICKEN,2069562,Restaurant,Risk 2 (Medium),101 E 51ST ST,CHICAGO
